,db,ticker,date,open,high,low,adj_close,rownumber,short_ema,medium_ema,long_ema,positive_directional_index_indicator,negative_directional_index_indicator,adx_indicator,suport_line,resistance_line,max_axis,min_axis,trigger_field1,trigger_field2,trigger_field3,trigger_field4,trigger_field5,trigger_field6,atr,floatshort,company,earnings_date,call_time,estimate_eps,zero_line,twenty_five_line,forty_line,max_avg_upper,min_avg_low,name,industry,vol_spike_bar
0,MD_Investm,AJRD,10/20/2021,44.06,44.5,43.99,44.09,13,43.89,43.46,43.28,32.62,8.23,65.23,41.1,49.5,54.82,35.87,"rgb(232, 232, 232)","rgb(77, 167, 75)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.99,7.88,,,,,0,25,40,40.743023,5.620697,Aerojet Rocketdyne Holdings Inc ,Aerospace Defense Major Diversified,0
1,MD_Investm,AJX,6/21/2021,12.45,12.91,12.38,12.75,98,12.69,12.69,12.59,34.97,24.54,-8.78,12.16,14.38,16.21,10.93,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.46,2.71,,,,,0,25,40,30.802558,14.251162,Great Ajax Corp,REIT,0
2,MD_Investm,AJX,9/2/2021,14.17,14.17,13.9,13.95,46,13.85,13.84,13.65,31.06,14.39,1.8,12.16,14.38,16.21,10.93,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.46,2.71,,,,,0,25,40,30.802558,14.251162,Great Ajax Corp,REIT,0
3,MD_Investm,AJX,9/14/2021,13.74,13.74,13.54,13.57,39,13.69,13.67,13.58,15.87,30.16,-27.89,12.16,14.38,16.21,10.93,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.46,2.71,,,,,0,25,40,30.802558,14.251162,Great Ajax Corp,REIT,0
4,MD_Investm,AJX,10/27/2021,14.27,14.33,14.15,14.22,8,14.22,14.11,13.98,28.28,22.22,49.46,12.16,14.38,16.21,10.93,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.46,2.71,,,,,0,25,40,30.802558,14.251162,Great Ajax Corp,REIT,0
5,MD_Investm,AJX,11/4/2021,14.36,14.45,14.17,14.35,2,14.3,14.24,14.1,17.19,14.06,9.31,12.16,14.38,16.21,10.93,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.46,2.71,,,,,0,25,40,30.802558,14.251162,Great Ajax Corp,REIT,0
6,MD_Investm,AKAM,7/8/2021,116.82,118.23,116.16,117.72,86,117.48,117.35,116.83,7.26,19.98,-21.29,101.88,120,132.75,91.2,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",4.7,5.84,,,,,0,25,40,32.609534,5.802325,Akamai Technologies Inc,Internet Information Providers,0
7,MD_Investm,AKAM,7/16/2021,116.87,117.84,116.4,117.03,80,116.87,116.78,116.77,14.47,14.12,-21.73,101.88,120,132.75,91.2,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",4.7,5.84,,,,,0,25,40,32.609534,5.802325,Akamai Technologies Inc,Internet Information Providers,0
8,MD_Investm,AFYA,8/16/2021,22.4,22.4,20.96,21.02,59,22.26,22.5,23.03,5.91,40.11,-28.94,16.22,27.06,31.05,14.51,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(255, 255, 0)","rgb(255, 255, 0)",0.68,1.71,Afya Ltd,11/22/2021,Before Market Open,0.21,0,25,40,33.276046,6.452093,Afya Limited ,#N/A,0
9,MD_Investm,AFYA,9/3/2021,21.96,22.63,21.84,22.06,45,21.64,21.76,22.26,37.07,14.87,9.47,16.22,27.06,31.05,14.51,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.68,1.71,Afya Ltd,11/22/2021,Before Market Open,0.21,0,25,40,33.276046,6.452093,Afya Limited ,#N/A,0
10,MD_Investm,AG,6/30/2021,15.4,15.91,15.27,15.81,91,15.8,16.47,16.57,14.38,26.8,-50.77,10.7,17.52,20.36,9.41,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.75,8.29,,,,,0,25,40,32.831395,10.90279,First Majestic Silver Corp,Silver,0
11,MD_Investm,AG,7/16/2021,13.7,13.85,12.85,12.97,80,13.75,14.28,14.91,2.97,45.4,-63.12,10.7,17.52,20.36,9.41,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(255, 255, 0)","rgb(255, 255, 0)",0.75,8.29,,,,,0,25,40,32.831395,10.90279,First Majestic Silver Corp,Silver,0
12,MD_Investm,AG,9/23/2021,12.15,12.2,11.86,11.94,32,12.18,12.28,12.26,21.25,30.04,-28.67,10.7,17.52,20.36,9.41,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.75,8.29,,,,,0,25,40,32.831395,10.90279,First Majestic Silver Corp,Silver,0
13,MD_Investm,AG,9/24/2021,11.83,12.1,11.73,11.79,31,12.06,12.2,12.18,17.97,30.86,-35.12,10.7,17.52,20.36,9.41,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.75,8.29,,,,,0,25,40,32.831395,10.90279,First Majestic Silver Corp,Silver,0
